file,page,total_pages,province,constituency,district,sub_district,station_range,vote_type,form_type,quality_score,readable,ocr_constituency,ocr_station_no,ocr_sub_district,ocr_district,registered_voters,turnout,ballots_received,valid_ballots,invalid_ballots,no_vote_ballots,remaining_ballots,total_votes,candidates_count,candidates_json
เขตเลือกตั้งที่ 7\07-แบบ ส.ส.5_17-แบ่งเขต-นอกเขต.pdf,1,2,ชัยภูมิ,7,,,,แบ่งเขต,สส.5/17,3,True,2,,,,,,,61,2,3,,,0,[]
เขตเลือกตั้งที่ 7\07-แบบ ส.ส.5_17-แบ่งเขต-นอกเขต.pdf,2,2,ชัยภูมิ,7,,,,แบ่งเขต,สส.5/17,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,1,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,27,249,,208,24,1,,,2,"[{""number"": 2, ""name"": ""นายยู่ภัดี"", ""party"": ""ปรชน"", ""votes"": 909}, {""number"": 3, ""name"": ""นายชิงขายชาลีริทร์"", ""party"": ""เพื่อทย"", ""votes"": 149}]"
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,2,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,3,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,1,2,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,4,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,5,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,6,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,7,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,22,,,,,,,2,"[{""number"": 2, ""name"": ""นางสาววาสนา อยู่ภักดี"", ""party"": ""ประชาน"", ""votes"": 0}, {""number"": 3, ""name"": ""นายเชิงชาย ชาลีรินทร์"", ""party"": ""เพื่อทย"", ""votes"": 0}]"
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,8,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,9,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,3,True,2,,,,,,,4,2,2,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,10,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,11,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,12,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,13,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,61,,,,,,,5,29,,,2,"[{""number"": 1, ""name"": ""นายประเสรีฐศักดิ์ ขําหินตัง"", ""party"": ""ไทยก้าวใหม่"", ""votes"": 3000}, {""number"": 5, ""name"": ""นายณรงค์ แขนอก"", ""party"": ""เตร ลฑ์ไฟต"", ""votes"": null}]"
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,14,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,15,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,3,True,,,,,,,,,1,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,16,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,17,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 2\อำเภอจัตุรัส\ต.หนองโดน-แบ่งเขต_บัญชีรายชื่อ.pdf,18,66,ชัยภูมิ,2,จัตุรัส,หนองโดน,,แบ่งเขต+บัญชีรายชื่อ,สส.5/18,2,True,,,,,,,,,,,,,0,[]
