file,page,total_pages,province,constituency,district,sub_district,station_range,vote_type,form_type,ocr_vote_type,ocr_constituency,ocr_station_no,ocr_village_no,ocr_sub_district,ocr_district,registered_voters,turnout,ballots_received,valid_ballots,invalid_ballots,no_vote_ballots,remaining_ballots,total_votes,candidates_count,candidates_json
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.หนองขาม-แบ่งเขต-หน่วยที่ 1-14.pdf,1,1,ชัยภูมิ,7,แก้งคร้อ,หนองขาม,1-14,แบ่งเขต,สส.5/18,แบ่งเขต,7,14,13,หนองหาน,,31,31,221,222,223,23,480,309,11,"[{""number"": 1, ""name"": ""นายกิตติธัช คำวงษ์"", ""party"": null, ""votes"": null}, {""number"": 2, ""name"": ""นายกิติพร เศรษฐภูมิภักดี"", ""party"": ""ประชาชน"", ""votes"": 40}, {""number"": 3, ""name"": ""นายจอมจักรภพ วัชระจินดาวัฒนะ"", ""party"": ""เพื่อไทย"", ""votes"": 3}, {""number"": 4, ""name"": ""นายชานนท์ ต่อสกุล"", ""party"": null, ""votes"": null}, {""number"": 5, ""name"": ""นางสาวปัญชลีย์ วัฒนชัยศาสตร์"", ""party"": ""พลังประชารัฐ"", ""votes"": null}, {""number"": 6, ""name"": ""นายอัครแสนคีรี โล่ห์วีระ"", ""party"": ""ภูมิใจไทย"", ""votes"": null}, {""number"": 7, ""name"": ""นายพลากร ภูมินอก"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 8, ""name"": ""นายธีรวุฒิ พงษ์จันทร์"", ""party"": ""ไทยก้าวใหม่"", ""votes"": null}, {""number"": 9, ""name"": ""นายอดิเรก ดวงวันนี้"", ""party"": ""ประชาธิปไตยใหม่"", ""votes"": null}, {""number"": 10, ""name"": ""นางสุชามนต์ เครือเครา"", ""party"": ""ไทยทรัพย์ทวี"", ""votes"": null}, {""number"": 11, ""name"": ""นางอรุณณี งามจิตสุวรรณ"", ""party"": null, ""votes"": null}]"
เขตเลือกตั้งที่ 7\อำเภอแก้งคร้อ\ต.ท่ามะไฟหวาน-แบ่งเขต-หน่วยที่ 1-11.pdf,1,1,ชัยภูมิ,7,แก้งคร้อ,ท่ามะไฟหวาน,1-11,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 4\อำเภอหนองบัวแดง\แบ่งเขต\ต.วังชมภู-แบ่งเขต-หน่วยที่ 1-12.pdf,1,24,ชัยภูมิ,4,หนองบัวแดง,วังชมภู,1-12,แบ่งเขต,สส.5/18,แบ่งเขต,4,,,,,299,399,220,,223,23,195,595,8,"[{""number"": 1, ""name"": ""นายวรฉัตร พงศ์ธีระดุลย์"", ""party"": ""สังกัด"", ""votes"": null}, {""number"": 2, ""name"": ""นายสิทธิพล ภูธรณ์"", ""party"": ""ประชาชน"", ""votes"": 42}, {""number"": 3, ""name"": ""นางสาวน้ำฝน หอมชาลี"", ""party"": ""ประชาธิปัตย์"", ""votes"": 105}, {""number"": null, ""name"": ""นายณรงค์ฤทธิ์ มอบสันเทียะ"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 31}, {""number"": null, ""name"": ""นางสาวสุชาดา ซาง แทนทรัพย์"", ""party"": ""ภูมิใจไทย"", ""votes"": 216}, {""number"": null, ""name"": ""นางสาวกาญจนา จังหวะ"", ""party"": ""กล้าธรรม"", ""votes"": null}, {""number"": null, ""name"": ""นางสาวนงค์คราญ ฤๅชาญ"", ""party"": ""ประชาธิปไตยใหม่"", ""votes"": null}, {""number"": null, ""name"": ""นายชาติชาย อาจสนาม"", ""party"": ""เศรษฐกิจ"", ""votes"": null}]"
เขตเลือกตั้งที่ 4\อำเภอหนองบัวแดง\แบ่งเขต\ต.วังชมภู-แบ่งเขต-หน่วยที่ 1-12.pdf,2,24,ชัยภูมิ,4,หนองบัวแดง,วังชมภู,1-12,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 5\อำเภอคอนสาร\แบ่งเขต\ดงบัง-แบ่งเขต-หน่วยที่ 1-9.pdf,1,18,ชัยภูมิ,5,คอนสาร,,1-9,แบ่งเขต,สส.5/18,แบ่งเขต,5,,,าล,,25,24,221,222,420,1,420,,11,"[{""number"": 1, ""name"": ""นายชยนนท์ คำเบ้า"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 2, ""name"": ""นายธนกฤต จรรย์โกมล"", ""party"": ""ภูมิใจไทย"", ""votes"": 74}, {""number"": 3, ""name"": ""ส.อ.นิติภัส สุภาพงษ์นันทกุล"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": null}, {""number"": 4, ""name"": ""นายสุขสันต์ ชื่นจิตร"", ""party"": ""กล้าธรรม"", ""votes"": 34}, {""number"": 5, ""name"": ""นายศิวะ พงศ์ธีระดุลย์"", ""party"": null, ""votes"": null}, {""number"": 6, ""name"": ""นายอภิเดช ประทุมแก้ว"", ""party"": ""เพื่อไทย"", ""votes"": 135}, {""number"": 7, ""name"": ""นายศรคม ภูชา"", ""party"": ""พลังประชารัฐ"", ""votes"": null}, {""number"": 8, ""name"": ""นายหนูเสน พรมวงศ์"", ""party"": ""ทางเลือกใหม่"", ""votes"": null}, {""number"": 9, ""name"": ""นายวิชัย ปัญญา"", ""party"": ""ไทยทรัพย์ทวี"", ""votes"": null}, {""number"": 10, ""name"": ""นายปิยชัย โชติมาวณิช"", ""party"": ""เศรษฐกิจ"", ""votes"": null}, {""number"": 11, ""name"": ""นายจงเจริญ เอกทวีกุล"", ""party"": ""ประชากรไทย"", ""votes"": null}]"
เขตเลือกตั้งที่ 5\อำเภอคอนสาร\แบ่งเขต\ดงบัง-แบ่งเขต-หน่วยที่ 1-9.pdf,2,18,ชัยภูมิ,5,คอนสาร,,1-9,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 3\อำเภอเทพสถิต\วะตะแบก-001-แบ่งเขต.PDF,1,10,ชัยภูมิ,3,เทพสถิต,วะตะแบก,001,แบ่งเขต,สส.5/18,แบ่งเขต,,,,,ขต,6,,221,222,223,23,10,,5,"[{""number"": 1, ""name"": ""นายสัมฤทธิ์ แทนทรัพย์"", ""party"": ""สังกัด"", ""votes"": 145}, {""number"": 2, ""name"": ""นางสาวพิศมัย สร้อยสุวรรณ"", ""party"": null, ""votes"": null}, {""number"": 3, ""name"": ""นายกฤษณ์ คูณรัตนศิริ"", ""party"": null, ""votes"": null}, {""number"": 4, ""name"": ""นายวีระ ถนอมธรรม"", ""party"": null, ""votes"": null}, {""number"": 5, ""name"": ""นายสนั่น พัชรเดชโสภณ"", ""party"": ""รวมไทยสร้างชาติ"", ""votes"": 28}]"
เขตเลือกตั้งที่ 3\อำเภอเทพสถิต\วะตะแบก-001-แบ่งเขต.PDF,2,10,ชัยภูมิ,3,เทพสถิต,วะตะแบก,001,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
เขตเลือกตั้งที่ 1\อำเภอเมืองชัยภูมิ\โคกสูง-001-แบ่งเขต.PDF,1,12,ชัยภูมิ,1,เมืองชัยภูมิ,โคกสูง,001,แบ่งเขต,สส.5/18,แบ่งเขต,,,,าล,,,,221,222,223,23,4,314,10,"[{""number"": 1, ""name"": ""นางสาวนัฏฐิกา โล่ห์วีระ"", ""party"": ""สังกัด"", ""votes"": null}, {""number"": 2, ""name"": ""นายดิเรก ผาสุขมูล"", ""party"": null, ""votes"": null}, {""number"": 2, ""name"": ""นายวรวุฒิ จอดนอก"", ""party"": ""ไทยก้าวใหม่"", ""votes"": null}, {""number"": 3, ""name"": ""นายวรพล พรมเมืองเก่า"", ""party"": ""ประชาธิปัตย์"", ""votes"": null}, {""number"": 4, ""name"": ""นายโอษฐ์ เกียรติก้องชูชัย"", ""party"": ""เพื่อไทย"", ""votes"": null}, {""number"": 5, ""name"": ""นายอนุชา เจริญรักษ์"", ""party"": null, ""votes"": null}, {""number"": 6, ""name"": ""นายอาวุธ ปะเมโท"", ""party"": null, ""votes"": null}, {""number"": 7, ""name"": ""นางสาวเกวลิน ชัยวัฒนกุลวานิช"", ""party"": ""ก้าวอิสระ"", ""votes"": null}, {""number"": 8, ""name"": ""นายเกษมศักดิ์ อัครเพศ"", ""party"": ""ภูมิใจไทย"", ""votes"": null}, {""number"": 10, ""name"": ""นายวันชัย ลือมงคล"", ""party"": ""เศรษฐกิจ"", ""votes"": null}]"
เขตเลือกตั้งที่ 1\อำเภอเมืองชัยภูมิ\โคกสูง-001-แบ่งเขต.PDF,2,12,ชัยภูมิ,1,เมืองชัยภูมิ,โคกสูง,001,แบ่งเขต,สส.5/18,,,,,,,,,,,,,,,0,[]
